version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,seed,enable_scaling
0.1.6,fpg-poly_0000000020_h1,fabio-ThinkPad,bfs,pq0a6,,12,0,0.07302260398864746,0.0006148815155029297,0.01625227928161621,0.07414865493774414,1,True
0.1.6,fpg-poly_0000000040_h1,fabio-ThinkPad,bfs,pq0a6,,19,0,0.1176903247833252,0.0004169940948486328,0.03342294692993164,0.11855745315551758,1,True
0.1.6,socg60,fabio-ThinkPad,bfs,pq0a6,,17,0,0.13207578659057617,0.0007333755493164062,0.02371811866760254,0.13329410552978516,1,True
0.1.6,socg_fixed60,fabio-ThinkPad,bfs,pq0a6,,17,0,0.14524221420288086,0.0009143352508544922,0.026748180389404297,0.14684224128723145,1,True
0.1.6,srpg_iso_aligned_mc0000088,fabio-ThinkPad,bfs,pq0a6,,32,2,0.23059844970703125,0.001438140869140625,0.06061697006225586,0.23281526565551758,1,True
0.1.6,maze_74_50_05_00,fabio-ThinkPad,bfs,pq0a6,,28,0,0.31387925148010254,0.001371145248413086,0.04100227355957031,0.31601524353027344,1,True
0.1.6,socg92,fabio-ThinkPad,bfs,pq0a6,,"the union of the polygons leaves uncovered some area of volume 1.8189894035458565e-12 at or near point (442.0, 112.0)",,0.23443937301635742,0.0011000633239746094,,0.2360672950744629,1,True
0.1.6,srpg_octa_mc0000082,fabio-ThinkPad,bfs,pq0a6,,the solution covers more area than the instance.,,0.2312924861907959,0.0006997585296630859,,0.23245501518249512,1,True
0.1.6,fpg-poly_0000000070_h2,fabio-ThinkPad,bfs,pq0a6,,40,0,0.24112319946289062,0.0018744468688964844,0.09211134910583496,0.2436671257019043,1,True
0.1.6,socg_fixed92,fabio-ThinkPad,bfs,pq0a6,,the solution covers more area than the instance.,,0.24923396110534668,0.0013148784637451172,,0.2511417865753174,1,True
0.1.6,srpg_iso_mc0000080,fabio-ThinkPad,bfs,pq0a6,,41,4,0.24389982223510742,0.001386404037475586,0.09106779098510742,0.24596929550170898,1,True
